1.4,1.69812,-13.1
1.6,1.69521,-15.9
1.8,1.69177,-18.4
2,1.68786,-20.7
2.2,1.68352,-22.7
2.4,1.6788,-24.4
2.6,1.67376,-25.9
2.8,1.66845,-27.1
3,1.66292,-28.1
3.2,1.65721,-29
3.4,1.65,-29.8
3.6,1.64529,-30.7
3.8,1.63905,-31.6
4,1.63263,-32.7
4.2,1.62602,-33.6
4.4,1.6192,-34.6
4.6,1.6122,-35.4
4.8,1.60506,-36
5,1.59782,-36.5
5.5,1.57928,-37.6
6,1.56027,-38.4
6.5,1.54097,-38.7
7,1.52166,-38.4
7.5,1.50272,-37.3
8,1.48443,-35.8
8.5,1.467,-34
9,1.45048,-32.1
9.5,1.43488,-30.3
10,1.42013,-28.7
10.5,1.40615,-27.2
11,1.39287,-25.9
11.5,1.38021,-24.8
12,1.36809,-23.7
12.5,1.35647,-22.8
13,1.3453,-21.9
13.5,1.33453,-21.2
14,1.32412,-20.5
14.5,1.31403,-19.9
15,1.30422,-19.4
15.5,1.29464,-18.9
16,1.28527,-18.6
16.5,1.27607,-18.2
17,1.26702,-18
17.5,1.2581,-17.7
18,1.24928,-17.6
18.5,1.24053,-17.4
19,1.23184,-17.4
19.5,1.22314,-17.4
20,1.2144,-17.6
21,1.19645,-18.5
22,1.17705,-20.6
23,1.15558,-21.7
24,1.13598,-15.9
25,1.12463,-7.72
26,1.11896,-4.34
27,1.11517,-3.34
28,1.11212,-2.82
29,1.10945,-2.53
30,1.10702,-2.34
32,1.10263,-2.08
34,1.09864,-1.92
36,1.0949,-1.83
38,1.09131,-1.77
40,1.08781,-1.74
42,1.08436,-1.72
44,1.08093,-1.72
46,1.07748,-1.73
48,1.07402,-1.74
50,1.07053,-1.75
52,1.067,-1.77
54,1.06346,-1.78
56,1.05988,-1.79
58,1.05629,-1.8
60,1.05267,-1.81
65,1.04353,-1.84
70,1.03425,-1.87
75,1.02482,-1.91
80,1.01525,-1.93
85,1.00552,-1.96
90,0.99565,-1.99
95,0.98564,-2.02
100,0.9755,-2.04
110,0.95487,-2.08
120,0.93383,-2.12
130,0.91243,-2.16
140,0.89072,-2.19
150,0.86873,-2.21
160,0.8465,-2.24
170,0.82404,-2.26
180,0.80138,-2.28
190,0.77855,-2.29
200,0.75554,-2.31
210,0.73238,-2.32
220,0.70908,-2.34
230,0.68564,-2.35
240,0.66208,-2.36
250,0.63841,-2.37
260,0.61465,-2.38
270,0.5908,-2.39
280,0.5669,-2.39
290,0.54294,-2.4
300,0.51892,-2.4
310,0.49484,-2.41
320,0.47069,-2.42
330,0.44647,-2.42
340,0.42221,-2.43
350,0.39783,-2.44
360,0.37337,-2.45
370,0.34881,-2.46
380,0.32416,-2.47
390,0.29941,-2.48
400,0.27456,-2.49
410,0.24963,-2.5
420,0.22463,-2.5
430,0.19961,-2.5
440,0.17464,-2.49
450,0.14985,-2.46
460,0.12547,-2.41
470,0.10191,-2.3
475,0.09062,-2.22
